school_name,Math Total Students Tested,Math Percentage Standard Exceeded,Math Percentage Standard Met,Math Percentage Standard Met and Above,Math Percentage Standard Nearly Met,Math Percentage Standard Not Met
San Francisco County Office of Education District ,6,,,,,
S.F. County Court Woodside Learning Ctr,0,,,,,
S.F. County Opportunity (Hilltop),,,,,,
S.F. County Civic Center Secondary,0,,,,,
S.F. County Special Education,0,,,,,
KIPP Bayview Academy,173,2.89,9.83,12.72,32.95,54.34
KIPP San Francisco Bay Academy,254,13.39,14.17,27.56,27.56,44.88
Five Keys Charter (SF Sheriff's),6,,,,,
Jordan (June) School for Equity,49,0.0,0.0,0.0,12.24,87.76
City Arts & Leadership Academy,112,2.7,7.21,9.91,14.41,75.68
Feinstein (Dianne) Elementary,162,34.16,24.84,59.01,18.01,22.98
Five Keys Independence HS (SF Sheriff's),21,4.76,9.52,14.29,14.29,71.43
S.F. International High,123,0.0,7.32,7.32,13.82,78.86
Academy (The)- SF @McAteer,57,0.0,19.3,19.3,22.81,57.89
Chinese Immersion School at DeAvila,182,58.79,30.77,89.56,7.69,2.75
San Francisco Public Montessori,49,22.45,22.45,44.9,28.57,26.53
Gateway Middle,276,14.49,17.03,31.52,26.45,42.03
Mission Preparatory,309,13.92,16.18,30.1,28.16,41.75
KIPP San Francisco College Preparatory,66,7.58,6.06,13.64,25.76,60.61
Brown Jr. (Willie L) Middle,288,11.46,11.81,23.26,23.26,53.47
Wells (Ida B.) High,18,0.0,0.0,0.0,11.11,88.89
Downtown High,46,0.0,0.0,0.0,2.17,97.83
Independence High,6,,,,,
Wallenberg (Raoul) Traditional High,107,22.43,19.63,42.06,14.02,43.93
Burton (Phillip and Sala) Academic High,219,12.84,17.43,30.28,19.72,50.0
Balboa High,256,15.23,28.52,43.75,25.39,30.86
"Asawa (Ruth) SF Sch of the Arts, A Public School",138,23.19,36.23,59.42,21.74,18.84
Marshall (Thurgood) High,88,1.14,1.14,2.27,4.55,93.18
Life Learning Academy Charter,17,0.0,0.0,0.0,17.65,82.35
Gateway High,121,4.96,22.31,27.27,28.93,43.8
Galileo High,371,25.27,26.09,51.36,17.39,31.25
Lincoln (Abraham) High,461,19.57,20.87,40.43,21.52,38.04
Lowell High,525,40.38,25.9,66.29,19.24,14.48
Mission High,202,0.5,3.96,4.46,13.37,82.18
O'Connell (John) High,24,0.0,4.17,4.17,8.33,87.5
Washington (George) High,407,29.6,28.61,58.21,23.13,18.66
San Francisco Unified District Level Program,10,,,,,
Alamo Elementary,194,43.3,26.8,70.1,18.56,11.34
Alvarado Elementary,233,26.61,29.18,55.79,21.89,22.32
Argonne Elementary,169,31.95,31.36,63.31,23.67,13.02
Carmichael (Bessie)/FEC,321,1.27,5.73,7.01,20.7,72.29
Harte (Bret) Elementary,110,5.45,9.09,14.55,14.55,70.91
Bryant Elementary,112,1.79,4.46,6.25,29.46,64.29
Clarendon Alternative Elementary,251,42.63,29.48,72.11,13.55,14.34
Cleveland Elementary,169,2.37,8.28,10.65,26.63,62.72
Sloat (Commodore) Elementary,190,33.68,35.26,68.95,18.95,12.11
Lau (Gordon J.) Elementary,332,41.57,25.9,67.47,21.69,10.84
Webster (Daniel) Elementary,155,35.71,18.18,53.9,22.08,24.03
Milk (Harvey) Civil Rights Elementary,89,30.34,17.98,48.31,20.22,31.46
Thomas Edison Charter Academy,362,9.67,12.15,21.82,26.52,51.66
Taylor (Edward R.) Elementary,288,18.12,24.04,42.16,26.48,31.36
El Dorado Elementary,50,0.0,4.0,4.0,8.0,88.0
Cobb (William L.) Elementary,52,23.08,17.31,40.38,21.15,38.46
Huerta (Dolores) Elementary,178,12.92,20.79,33.71,22.47,43.82
Key (Francis Scott) Elementary,271,39.11,32.1,71.22,18.82,9.96
McCoppin (Frank) Elementary,104,38.46,19.23,57.69,23.08,19.23
Garfield Elementary,70,28.57,27.14,55.71,30.0,14.29
Peabody (George) Elementary,128,50.0,28.13,78.13,14.84,7.03
Glen Park Elementary,137,17.65,24.26,41.91,13.97,44.12
Grattan Elementary,182,39.01,31.32,70.33,17.03,12.64
Guadalupe Elementary,133,4.51,18.8,23.31,24.81,51.88
Yick Wo Elementary,82,39.02,30.49,69.51,20.73,9.76
Chavez (Cesar) Elementary,200,3.0,13.5,16.5,23.5,60.0
Hillcrest Elementary,149,2.68,6.04,8.72,26.85,64.43
Parker (Jean) Elementary,54,29.63,27.78,57.41,20.37,22.22
Jefferson Elementary,239,28.87,30.13,59.0,27.62,13.39
Muir (John) Elementary,114,42.98,26.32,69.3,20.18,10.53
Ortega (Jose) Elementary,187,47.06,22.46,69.52,18.18,12.3
Serra (Junipero) Elementary,138,14.49,18.12,32.61,28.99,38.41
Lafayette Elementary,237,51.05,29.54,80.59,11.81,7.59
Lakeshore Alternative Elementary,184,18.48,20.11,38.59,21.74,39.67
Lawton Alternative,381,49.34,26.25,75.59,14.44,9.97
Flynn (Leonard R.) Elementary,175,12.64,17.24,29.89,25.86,44.25
Longfellow Elementary,234,8.12,18.38,26.5,25.21,48.29
Marshall Elementary,129,8.53,6.2,14.73,13.95,71.32
McKinley Elementary,123,35.77,25.2,60.98,17.07,21.95
Miraloma Elementary,148,43.24,24.32,67.57,20.27,12.16
Monroe Elementary,270,23.33,24.44,47.78,20.37,31.85
Revere (Paul) Elementary,301,0.67,2.33,3.0,17.0,80.0
Parks (Rosa) Elementary,165,8.48,17.58,26.06,18.79,55.15
Redding Elementary,101,8.91,14.85,23.76,32.67,43.56
Stevenson (Robert Louis) Elementary,200,45.0,25.5,70.5,20.0,9.5
Sanchez Elementary,122,2.46,13.93,16.39,19.67,63.93
Sheridan Elementary,74,5.41,17.57,22.97,32.43,44.59
Sherman Elementary,108,25.0,22.22,47.22,30.56,22.22
Malcolm X Academy,48,4.17,4.17,8.33,16.67,75.0
Spring Valley Elementary,115,10.43,20.87,31.3,16.52,52.17
King (Thomas Starr) Elementary,148,44.59,16.89,61.49,15.54,22.97
Sunnyside Elementary,160,28.75,24.38,53.13,25.63,21.25
Sutro Elementary,118,44.92,28.81,73.73,18.64,7.63
Ulloa Elementary,260,45.0,30.0,75.0,20.77,4.23
Visitacion Valley Elementary,117,11.11,18.8,29.91,24.79,45.3
West Portal Elementary,262,35.63,30.65,66.28,22.22,11.49
Giannini (A.P.) Middle,1128,39.45,25.18,64.63,19.33,16.05
Francisco Middle,491,13.96,15.61,29.57,21.97,48.46
Hoover (Herbert) Middle,917,28.38,19.87,48.25,23.58,28.17
Denman (James) Middle,716,9.24,13.17,22.41,21.29,56.3
King Jr. (Martin Luther) Academic Middle,349,9.2,12.07,21.26,25.29,53.45
Roosevelt Middle,621,38.23,23.39,61.61,21.61,16.77
Visitacion Valley Middle,330,3.33,5.15,8.48,15.15,76.36
Aptos Middle,809,30.61,20.07,50.68,20.07,29.24
Everett Middle,481,3.33,6.04,9.38,15.0,75.63
Buena Vista/ Horace Mann K-8,389,4.88,12.85,17.74,19.79,62.47
Lick (James) Middle,399,4.26,6.52,10.78,16.29,72.93
Marina Middle,629,23.89,17.52,41.4,24.52,34.08
Presidio Middle,932,27.1,24.3,51.4,25.05,23.55
Lee (Edwin and Anita) Newcomer,0,,,,,
Mission Education Center,59,0.0,0.0,0.0,5.08,94.92
Rooftop Elementary,379,28.23,25.86,54.09,21.11,24.8
San Francisco Community Alternative,176,14.2,21.02,35.23,24.43,40.34
Carver (George Washington) Elementary,47,0.0,6.38,6.38,14.89,78.72
New Traditions Elementary,125,43.2,28.8,72.0,18.4,9.6
Moscone (George R.) Elementary,179,10.06,23.46,33.52,27.93,38.55
Lilienthal (Claire) Elementary,412,60.44,19.9,80.34,10.92,8.74
Drew (Charles) College Preparatory Academy,63,0.0,3.17,3.17,14.29,82.54
Creative Arts Charter,300,21.4,23.75,45.15,24.41,30.43
Yu (Alice Fong) Elementary,389,54.76,22.11,76.86,15.42,7.71
Chin (John Yehall) Elementary,138,63.04,23.91,86.96,10.87,2.17
Sunset Elementary,191,63.35,26.18,89.53,8.9,1.57
Tenderloin Community,128,7.03,10.94,17.97,19.53,62.5
The New School of San Francisco,313,42.17,24.6,66.77,18.53,14.7
KIPP Bayview Elementary,49,0.0,16.33,16.33,24.49,59.18
