"school_name","district","supervisor"
"Lowell High","7","Myrna Melgar"
"Roosevelt Middle","2","Catherine Stefani"
"Yu (Alice Fong) Elementary","4","Joel Engardio"
"Burton (Phillip and Sala) Academic High","10","Shamann Walton"
"Wallenberg (Raoul) Traditional High","5","Dean Preston"
"Washington (George) High","1","Connie Chan"
"Galileo High","3","Aaron Peskin"
"Balboa High","11","Ahsha Safaí"
"Clarendon Alternative Elementary","7","Myrna Melgar"
"Chin (John Yehall) Elementary","3","Aaron Peskin"
"Lincoln (Abraham) High","4","Joel Engardio"
"Giannini (A.P.) Middle","4","Joel Engardio"
"Cobb (William L.) Elementary","5","Dean Preston"
"Presidio Middle","1","Connie Chan"
"Miraloma Elementary","7","Myrna Melgar"
"Buena Vista/ Horace Mann K-8","9","Hillary Ronen"
"Longfellow Elementary","11","Ahsha Safaí"
"Mission High","8","Rafael Mandelman"
"S.F. International High","9","Hillary Ronen"
"Sheridan Elementary","11","Ahsha Safaí"
"Academy (The)- SF @McAteer","7","Myrna Melgar"
"Huerta (Dolores) Elementary","11","Ahsha Safaí"
"Webster (Daniel) Elementary","10","Shamann Walton"
"Visitacion Valley Middle","10","Shamann Walton"
"McCoppin (Frank) Elementary","1","Connie Chan"
"Aptos Middle","7","Myrna Melgar"
"Ortega (Jose) Elementary","7","Myrna Melgar"
"Hoover (Herbert) Middle","7","Myrna Melgar"
"Francisco Middle","3","Aaron Peskin"
"Lilienthal (Claire) Elementary","2","Catherine Stefani"
"Monroe Elementary","11","Ahsha Safaí"
"Sunnyside Elementary","7","Myrna Melgar"
"Lawton Alternative","4","Joel Engardio"
"Independence High","4","Joel Engardio"
"Serra (Junipero) Elementary","9","Hillary Ronen"
"Muir (John) Elementary","5","Dean Preston"
"Downtown High","10","Shamann Walton"
"Wells (Ida B.) High","5","Dean Preston"
"Peabody (George) Elementary","1","Connie Chan"
"Lafayette Elementary","1","Connie Chan"
"Garfield Elementary","3","Aaron Peskin"
"McKinley Elementary","8","Rafael Mandelman"
"Stevenson (Robert Louis) Elementary","4","Joel Engardio"
"Ulloa Elementary","4","Joel Engardio"
"King (Thomas Starr) Elementary","10","Shamann Walton"
"Key (Francis Scott) Elementary","4","Joel Engardio"
"Lakeshore Alternative Elementary","7","Myrna Melgar"
"Harte (Bret) Elementary","10","Shamann Walton"
"Mission Education Center","8","Rafael Mandelman"
"Sutro Elementary","1","Connie Chan"
"Marshall (Thurgood) High","10","Shamann Walton"
"Guadalupe Elementary","11","Ahsha Safaí"
"Brown Jr. (Willie L) Middle","10","Shamann Walton"
"Milk (Harvey) Civil Rights Elementary","8","Rafael Mandelman"
"Lau (Gordon J.) Elementary","3","Aaron Peskin"
"Moscone (George R.) Elementary","9","Hillary Ronen"
"Alvarado Elementary","8","Rafael Mandelman"
"New Traditions Elementary","5","Dean Preston"
"Sunset Elementary","4","Joel Engardio"
"Carver (George Washington) Elementary","10","Shamann Walton"
"West Portal Elementary","7","Myrna Melgar"
"Revere (Paul) Elementary","9","Hillary Ronen"
"Marina Middle","2","Catherine Stefani"
"Chinese Immersion School at DeAvila","5","Dean Preston"
"Jordan (June) School for Equity","11","Ahsha Safaí"
"Cleveland Elementary","11","Ahsha Safaí"
"Glen Park Elementary","8","Rafael Mandelman"
"Carmichael (Bessie)/FEC","6","Matt Dorsey"
"Argonne Elementary","1","Connie Chan"
"King Jr. (Martin Luther) Academic Middle","10","Shamann Walton"
"Jefferson Elementary","7","Myrna Melgar"
"Marshall Elementary","9","Hillary Ronen"
"Malcolm X Academy","10","Shamann Walton"
"Sanchez Elementary","8","Rafael Mandelman"
"Redding Elementary","3","Aaron Peskin"
"Chavez (Cesar) Elementary","9","Hillary Ronen"
"Feinstein (Dianne) Elementary","4","Joel Engardio"
"Rooftop Elementary","7","Myrna Melgar"
"Alamo Elementary","1","Connie Chan"
"O'Connell (John) High","9","Hillary Ronen"
"Drew (Charles) College Preparatory Academy","10","Shamann Walton"
"Lick (James) Middle","8","Rafael Mandelman"
"San Francisco Public Montessori","2","Catherine Stefani"
"San Francisco Community Alternative","11","Ahsha Safaí"
"Sloat (Commodore) Elementary","7","Myrna Melgar"
"Yick Wo Elementary","3","Aaron Peskin"
"Flynn (Leonard R.) Elementary","9","Hillary Ronen"
"Grattan Elementary","5","Dean Preston"
"Denman (James) Middle","11","Ahsha Safaí"
"Bryant Elementary","9","Hillary Ronen"
"Taylor (Edward R.) Elementary","10","Shamann Walton"
"Spring Valley Elementary","3","Aaron Peskin"
"El Dorado Elementary","10","Shamann Walton"
"Tenderloin Community","6","Matt Dorsey"
"Everett Middle","8","Rafael Mandelman"
"Sherman Elementary","2","Catherine Stefani"
"Parker (Jean) Elementary","3","Aaron Peskin"
"Parks (Rosa) Elementary","5","Dean Preston"
"Visitacion Valley Elementary","10","Shamann Walton"
"Hillcrest Elementary","10","Shamann Walton"
"Asawa (Ruth) SF Sch of the Arts A Public School","7","Myrna Melgar"